Wall time,Step,Value
1615722042.337977,1,0.789172887802124
1615722082.944089,2,0.38203558325767517
1615722120.085533,3,0.3430076837539673
1615722157.0527046,4,0.28361114859580994
1615722193.9674346,5,0.26199445128440857
1615722230.7375998,6,0.2672743499279022
1615722267.6378407,7,0.2257503718137741
1615722304.6261575,8,0.25007784366607666
1615722341.6682637,9,0.20691172778606415
1615722378.7343013,10,0.21444720029830933
1615722415.6276505,11,0.1859133243560791
1615722452.436561,12,0.21571116149425507
1615722489.199357,13,0.17446966469287872
1615722525.797115,14,0.17487004399299622
1615722562.1569278,15,0.1647464632987976
1615722598.5470366,16,0.20422928035259247
1615722634.8853633,17,0.197610005736351
1615722671.406816,18,0.16903764009475708
1615722707.8165698,19,0.15922924876213074
1615722744.287608,20,0.1421017199754715
1615722780.607268,21,0.11694657057523727
1615722816.8498461,22,0.10079845041036606
1615722853.1608417,23,0.09701859951019287
1615722889.3426595,24,0.09782559424638748
1615722925.68622,25,0.10467413067817688
1615722962.0270653,26,0.10092887282371521
1615722998.437611,27,0.09409204125404358
1615723034.7037277,28,0.09210655093193054
1615723071.11735,29,0.1002034991979599
1615723107.4345589,30,0.08927081525325775
1615723143.6880794,31,0.08933612704277039
1615723179.852113,32,0.09285305440425873
1615723216.1361198,33,0.10520009696483612
1615723252.4723978,34,0.08704837411642075
1615723288.819658,35,0.08939608931541443
1615723325.056486,36,0.0979548916220665
1615723361.3789926,37,0.08335480839014053
1615723397.5638168,38,0.08741072565317154
1615723433.7184095,39,0.10119235515594482
1615723469.8538816,40,0.0781911164522171
1615723506.0973396,41,0.06802737712860107
1615723542.2998781,42,0.06595530360937119
1615723578.5958214,43,0.06115132197737694
1615723614.7824566,44,0.057293228805065155
1615723651.1399806,45,0.05417274683713913
1615723687.4664133,46,0.056049808859825134
1615723723.920934,47,0.05580320954322815
1615723760.2306361,48,0.05398695170879364
1615723796.6442602,49,0.053973108530044556
1615723833.058507,50,0.0526030994951725
1615723869.3316362,51,0.05939878150820732
1615723905.6097362,52,0.05166390910744667
1615723941.8797295,53,0.05220901966094971
1615723978.1656115,54,0.05337880179286003
1615724014.429303,55,0.05157613009214401
1615724050.70651,56,0.052660584449768066
1615724086.9401815,57,0.05219292640686035
1615724123.2510405,58,0.0550842247903347
1615724159.5485437,59,0.05135347321629524
1615724195.6898265,60,0.05504985898733139
1615724231.944842,61,0.04026973620057106
1615724268.198126,62,0.04249133542180061
1615724304.3689551,63,0.03961443901062012
1615724340.4750254,64,0.038027238100767136
