Wall time,Step,Value
1615635118.3805697,1,1.0049655437469482
1615635144.3022926,2,0.45978549122810364
1615635170.1706412,3,0.40751567482948303
1615635195.996016,4,0.36285078525543213
1615635221.7969944,5,0.359571635723114
1615635247.4221215,6,0.32440102100372314
1615635273.0192728,7,0.3151817321777344
1615635298.5384827,8,0.26497533917427063
1615635324.1981127,9,0.2875737249851227
1615635349.7166398,10,0.256181538105011
1615635375.1729875,11,0.26193517446517944
1615635400.6595821,12,0.24998809397220612
1615635426.058672,13,0.24466419219970703
1615635451.469577,14,0.24314266443252563
1615635476.8931112,15,0.2087617963552475
1615635502.4335277,16,0.2497250735759735
1615635527.8404891,17,0.20390355587005615
1615635553.2869804,18,0.18826012313365936
1615635578.6599572,19,0.21692915260791779
1615635603.9511356,20,0.1935383528470993
1615635629.341238,21,0.160480335354805
1615635654.7150257,22,0.14522020518779755
1615635679.9843175,23,0.15044409036636353
1615635705.2861254,24,0.13507401943206787
1615635730.7906702,25,0.142812117934227
1615635756.2455423,26,0.14094793796539307
1615635781.7110262,27,0.11437170207500458
1615635807.125133,28,0.13194754719734192
1615635832.566799,29,0.12888459861278534
1615635857.838386,30,0.12168680876493454
1615635883.1621437,31,0.12371700257062912
1615635908.36439,32,0.11920487880706787
1615635933.6174836,33,0.12718020379543304
1615635958.9806542,34,0.11541463434696198
1615635984.3218167,35,0.11992815881967545
1615636009.5711992,36,0.14109621942043304
1615636034.777891,37,0.13551495969295502
1615636060.0607018,38,0.11241605877876282
1615636085.2916117,39,0.11700066924095154
1615636110.5979152,40,0.1261896938085556
1615636135.99438,41,0.10482048243284225
1615636161.3329053,42,0.08549392968416214
1615636186.6771564,43,0.07439527660608292
1615636212.1813998,44,0.07235439866781235
1615636237.5982893,45,0.07202204316854477
1615636262.9583726,46,0.07772398740053177
1615636288.2270653,47,0.08262710273265839
1615636313.7333333,48,0.0686822161078453
1615636339.425535,49,0.07363685220479965
1615636364.9786322,50,0.06710251420736313
1615636390.6141508,51,0.06839660555124283
1615636416.3237877,52,0.09091129153966904
1615636442.1524348,53,0.07103771716356277
1615636467.8797884,54,0.06846451759338379
1615636493.3625364,55,0.061001937836408615
1615636518.8736405,56,0.07205240428447723
1615636544.4611907,57,0.06231148913502693
1615636569.8237321,58,0.07351066917181015
1615636595.111967,59,0.07605712115764618
1615636620.5218284,60,0.06413581222295761
1615636645.757491,61,0.050841689109802246
1615636671.0191343,62,0.05397520586848259
1615636696.3774045,63,0.051263030618429184
1615636721.7573688,64,0.045389898121356964
1615636747.1592128,65,0.04765615984797478
1615636772.5496464,66,0.051053326576948166
1615636797.8756213,67,0.05197613686323166
1615636823.1531017,68,0.04817403852939606
1615636848.5309465,69,0.04583597928285599
1615636873.8832223,70,0.048719801008701324
1615636899.081441,71,0.050086431205272675
1615636924.4003623,72,0.04522142931818962
1615636949.7087123,73,0.04203839227557182
1615636974.9643762,74,0.04374992847442627
1615637000.1382976,75,0.042581167072057724
1615637025.477838,76,0.04315141215920448
1615637050.7215164,77,0.04553717002272606
1615637076.0702286,78,0.044274408370256424
1615637101.3839824,79,0.04221354424953461
1615637126.596673,80,0.043231066316366196
1615637151.8392427,81,0.0373646579682827
1615637177.1529927,82,0.03444751352071762
1615637202.422781,83,0.0376787893474102
1615637227.5873632,84,0.03414665535092354
1615637252.7584896,85,0.03380713239312172
1615637278.1256802,86,0.032826028764247894
1615637303.4001772,87,0.036862973123788834
1615637328.6321535,88,0.034373749047517776
1615637354.051916,89,0.03393547236919403
1615637379.384166,90,0.03163376450538635
1615637404.6708338,91,0.03468526154756546
1615637430.0212672,92,0.034168049693107605
1615637455.275637,93,0.03319448232650757
1615637480.5477884,94,0.03428155928850174
1615637505.8073947,95,0.035686638206243515
1615637531.0999913,96,0.031027622520923615
1615637556.3829672,97,0.032717376947402954
1615637581.7818124,98,0.031912025064229965
1615637607.2682133,99,0.03127904236316681
1615637632.6370227,100,0.031450655311346054
1615637658.0478582,101,0.028490861877799034
1615637683.8282037,102,0.030406074598431587
1615637709.4502833,103,0.028618622571229935
1615637735.013112,104,0.02890765108168125
1615637760.4901788,105,0.026624733582139015
1615637785.7722337,106,0.027123235166072845
1615637811.13978,107,0.029981907457113266
1615637836.5837197,108,0.027664946392178535
1615637861.891365,109,0.02818612940609455
1615637887.3166258,110,0.02853604219853878
1615637912.8260558,111,0.025213120505213737
1615637938.2104251,112,0.028919775038957596
1615637963.5864072,113,0.02873580902814865
1615637988.9564297,114,0.0275745689868927
1615638014.374045,115,0.029714392498135567
1615638039.7661188,116,0.03027704358100891
1615638065.177355,117,0.029031332582235336
1615638090.6001482,118,0.027469906955957413
1615638116.0287528,119,0.027678504586219788
1615638141.4867814,120,0.02639680914580822
1615638166.9096482,121,0.02751101925969124
1615638192.3157403,122,0.025957781821489334
1615638218.3450618,123,0.025010468438267708
1615638244.2892816,124,0.02699732407927513
1615638270.1353073,125,0.024019118398427963
1615638295.8748913,126,0.02463817037642002
1615638321.977355,127,0.023977166041731834
1615638347.7085385,128,0.025984112173318863
1615638373.4952688,129,0.02585647813975811
1615638399.4199872,130,0.024728454649448395
1615638425.279249,131,0.02503766119480133
1615638451.1384327,132,0.02464303933084011
1615638477.314497,133,0.0237222108989954
1615638503.3567886,134,0.027043955400586128
1615638529.44484,135,0.023769764229655266
1615638555.5621529,136,0.02464311383664608
1615638581.644855,137,0.025622809305787086
1615638607.902268,138,0.02564912475645542
1615638634.2610178,139,0.023912865668535233
1615638660.5821173,140,0.024764059111475945
1615638686.7753448,141,0.023366697132587433
1615638713.0112185,142,0.02494574338197708
1615638739.2522776,143,0.024515030905604362
1615638765.4376597,144,0.023116543889045715
1615638791.688434,145,0.023999132215976715
1615638817.896598,146,0.024204621091485023
1615638844.0669386,147,0.023856449872255325
1615638870.3458314,148,0.02368645742535591
1615638896.4703605,149,0.022183269262313843
1615638922.6431756,150,0.024927955120801926
1615638948.8808024,151,0.022077634930610657
1615638975.0471094,152,0.022884521633386612
1615639001.109275,153,0.024754399433732033
1615639027.1904101,154,0.023767387494444847
1615639053.527547,155,0.024123165756464005
1615639079.8978953,156,0.022416844964027405
1615639106.2431848,157,0.022923221811652184
1615639132.6636584,158,0.024389704689383507
1615639159.063995,159,0.023763934150338173
1615639185.4774706,160,0.024156957864761353
1615639211.8236027,161,0.02320113591849804
1615639238.2734418,162,0.02239852026104927
1615639264.5871122,163,0.0219738706946373
1615639290.9050798,164,0.023925743997097015
1615639317.2272382,165,0.022343093529343605
1615639343.6820724,166,0.023905739188194275
1615639369.9678073,167,0.021722855046391487
1615639396.422264,168,0.024004092440009117
1615639422.7137253,169,0.022741714492440224
1615639449.140523,170,0.021690966561436653
1615639475.5858119,171,0.022256558761000633
1615639501.8636546,172,0.02279038168489933
1615639528.4341629,173,0.023445552214980125
1615639554.9745994,174,0.021522242575883865
1615639581.2679648,175,0.021821564063429832
1615639607.5853727,176,0.02270260825753212
1615639633.8356452,177,0.02268986590206623
1615639660.261475,178,0.022721262648701668
1615639686.6124833,179,0.021716218441724777
1615639712.997751,180,0.023787634447216988
1615639739.2855191,181,0.022601531818509102
1615639765.6605754,182,0.02304242178797722
1615639792.1173818,183,0.02291257306933403
