Wall time,Step,Value
1615625755.5782375,1,68.30000305175781
1615625781.0712397,2,81.26875305175781
1615625806.693194,3,82.68374633789062
1615625832.2449062,4,84.97875213623047
1615625857.5967338,5,86.74124908447266
1615625882.9990838,6,86.93374633789062
1615625908.5578885,7,88.19249725341797
1615625933.9291775,8,87.86250305175781
1615625959.3744092,9,88.88874816894531
1615625984.8525825,10,89.08125305175781
1615626010.3582182,11,88.5
1615626035.7842226,12,89.30000305175781
1615626061.2384837,13,89.65625
1615626086.631485,14,89.23249816894531
1615626111.7969716,15,90.02249908447266
1615626137.1220329,16,89.41124725341797
1615626162.417395,17,89.85749816894531
1615626187.7206135,18,90.625
1615626213.105366,19,89.54499816894531
1615626238.4498713,20,90.96499633789062
1615626263.782758,21,91.28624725341797
1615626289.223759,22,92.30874633789062
1615626314.901992,23,91.41625213623047
1615626340.3896916,24,92.38874816894531
1615626365.7980373,25,91.80374908447266
1615626391.1511757,26,92.64749908447266
1615626416.357797,27,92.36624908447266
1615626441.55415,28,92.36624908447266
1615626467.0258403,29,91.91124725341797
1615626492.25463,30,91.98249816894531
1615626517.5414271,31,92.20124816894531
1615626542.9296067,32,92.58499908447266
1615626568.2472837,33,92.52749633789062
1615626593.5870233,34,92.39749908447266
1615626618.912956,35,92.46875
1615626644.377625,36,92.69249725341797
1615626669.8012047,37,91.53125
1615626695.0854084,38,92.99124908447266
1615626720.5412369,39,92.19249725341797
1615626745.7571425,40,92.66999816894531
1615626771.037159,41,93.61624908447266
1615626796.3183007,42,93.51374816894531
1615626821.7649984,43,93.76374816894531
1615626847.082579,44,93.65249633789062
1615626872.3746576,45,93.84874725341797
1615626897.7601235,46,93.66999816894531
1615626923.0038502,47,93.77749633789062
1615626948.408089,48,94.10749816894531
1615626973.7174113,49,94.47374725341797
1615626999.014859,50,93.95124816894531
1615627024.51878,51,94.0625
1615627049.8055136,52,94.25
1615627075.1936512,53,94.48249816894531
1615627100.5599566,54,94.15625
1615627125.959574,55,94.13874816894531
1615627151.3815536,56,94.55374908447266
1615627176.6218846,57,94.42874908447266
1615627202.0695248,58,93.88874816894531
1615627227.4015117,59,94.03125
1615627252.6921654,60,94.15625
1615627278.0273044,61,94.70999908447266
1615627303.2268834,62,94.92874908447266
1615627328.5298836,63,95.3125
1615627353.8637717,64,95.13874816894531
1615627379.0506003,65,95.21875
1615627404.2981625,66,94.66124725341797
1615627429.5514834,67,95.0
1615627454.9345746,68,94.58499908447266
1615627480.060846,69,95.39749908447266
1615627505.347727,70,95.14749908447266
1615627530.725491,71,95.55374908447266
1615627555.9958415,72,94.96875
1615627581.265111,73,94.84375
1615627606.6469562,74,95.15625
1615627632.1928463,75,95.26374816894531
1615627657.6824756,76,95.03125
1615627683.1642294,77,95.08499908447266
1615627708.5389352,78,95.0625
1615627733.8565035,79,95.16999816894531
1615627759.389476,80,95.10749816894531
1615627784.7777643,81,95.27249908447266
1615627809.910707,82,95.30374908447266
1615627835.2330196,83,95.25
1615627860.4901795,84,96.125
1615627885.7154088,85,96.02249908447266
1615627911.2456546,86,95.16999816894531
1615627936.7081223,87,95.79499816894531
1615627962.1905317,88,95.65249633789062
1615627987.6110427,89,95.34375
1615628013.0972912,90,95.41999816894531
1615628038.4874117,91,95.67874908447266
1615628063.9608414,92,96.03125
1615628089.4434323,93,95.61624908447266
1615628114.8477814,94,95.74124908447266
1615628140.354314,95,95.67874908447266
1615628165.8228345,96,95.59375
1615628191.2294765,97,95.5625
1615628216.6328259,98,95.84375
1615628242.0507858,99,95.64749908447266
1615628267.5138798,100,96.0
1615628292.7472115,101,96.16999816894531
1615628317.9463701,102,95.4375
1615628343.1893294,103,95.53125
1615628368.4723878,104,96.10749816894531
1615628393.727418,105,95.91999816894531
1615628419.0194228,106,95.85749816894531
1615628444.2456577,107,95.61624908447266
1615628469.501678,108,95.88874816894531
1615628494.7953577,109,96.26374816894531
1615628520.0230026,110,95.5625
1615628545.1828635,111,95.75
1615628570.4660757,112,95.61624908447266
1615628595.6277156,113,96.16124725341797
1615628620.6887114,114,95.52749633789062
1615628645.8079424,115,95.30374908447266
1615628670.8665314,116,95.59874725341797
1615628695.8087385,117,96.14749908447266
1615628720.7781737,118,95.84375
1615628746.0236545,119,95.52249908447266
1615628771.0855582,120,95.87999725341797
1615628796.0751014,121,95.89749908447266
1615628821.1820233,122,96.34375
1615628846.315238,123,95.90625
1615628871.3669662,124,95.55374908447266
1615628896.4262688,125,95.59375
1615628921.6651638,126,95.4375
1615628947.00283,127,96.21875
1615628972.3701854,128,96.0
1615628997.686094,129,95.88874816894531
1615629023.0450594,130,95.74124908447266
1615629048.4299479,131,95.6875
1615629073.7519565,132,96.4375
1615629098.9256968,133,95.92874908447266
1615629124.242863,134,95.47374725341797
1615629149.5894089,135,95.3125
1615629174.9446845,136,95.8125
1615629200.3829753,137,95.8125
1615629225.6629057,138,95.8125
1615629250.9227083,139,96.25
1615629276.1642976,140,96.27249908447266
1615629301.6350198,141,95.875
1615629326.967097,142,96.30374908447266
1615629352.1481717,143,95.84375
1615629377.4221237,144,96.39749908447266
1615629402.6222498,145,96.10749816894531
1615629427.8551059,146,95.48249816894531
1615629453.0855749,147,95.74124908447266
1615629478.431342,148,96.14749908447266
1615629503.704452,149,95.96875
1615629528.889176,150,95.87999725341797
1615629554.0874581,151,96.04499816894531
1615629579.3726895,152,95.91999816894531
1615629604.6649833,153,95.86624908447266
1615629629.9796333,154,96.39749908447266
1615629655.186745,155,95.59375
1615629680.3881624,156,95.53125
1615629705.726187,157,95.45999908447266
1615629730.9389951,158,95.10749816894531
1615629756.1679418,159,95.64749908447266
1615629781.5033772,160,96.36624908447266
1615629806.735,161,95.95999908447266
1615629831.9760115,162,96.16999816894531
1615629857.2461565,163,95.95124816894531
1615629882.518935,164,95.95124816894531
1615629907.7658985,165,96.35749816894531
1615629933.1330729,166,95.96875
1615629958.4952042,167,96.08499908447266
1615629983.6098783,168,95.59874725341797
1615630008.8724985,169,96.20124816894531
1615630034.1679184,170,95.89749908447266
1615630059.4986396,171,95.99124908447266
1615630084.7951772,172,96.25
1615630110.1962094,173,95.99124908447266
1615630135.5519626,174,96.39749908447266
1615630160.8541439,175,96.20124816894531
1615630186.2376401,176,95.99124908447266
