Wall time,Step,Value
1615637658.0480027,101,99.3125
1615637683.8283339,102,99.34375
1615637709.450402,103,99.28125
1615637735.0132337,104,99.4375
1615637760.4902992,105,99.40625
1615637785.7723715,106,99.39749908447266
1615637811.1399207,107,99.25
1615637836.5838404,108,99.25
1615637861.8914835,109,99.15625
1615637887.3167558,110,99.21875
1615637912.8261938,111,99.45999908447266
1615637938.2105505,112,99.28125
1615637963.5865333,113,99.36624908447266
1615637988.9565587,114,99.45999908447266
1615638014.37417,115,99.24124908447266
1615638039.766242,116,99.25
1615638065.1774712,117,99.25
1615638090.6002686,118,99.40625
1615638116.0288846,119,99.1875
1615638141.4869328,120,99.375
1615638166.9097729,121,99.40625
1615638192.3158655,122,99.4375
1615638218.345184,123,99.53125
1615638244.2894158,124,99.34375
1615638270.1354437,125,99.5
1615638295.8750124,126,99.40625
1615638321.977474,127,99.59375
1615638347.7086594,128,99.45999908447266
1615638373.495397,129,99.40625
1615638399.4201212,130,99.5625
1615638425.2793705,131,99.4375
1615638451.1385508,132,99.5625
1615638477.3146217,133,99.59375
1615638503.3569381,134,99.30374908447266
1615638529.4449804,135,99.625
1615638555.5622804,136,99.40625
1615638581.6450615,137,99.4375
1615638607.9024022,138,99.4375
1615638634.2611573,139,99.5
1615638660.5822382,140,99.33499908447266
1615638686.7754695,141,99.59375
1615638713.0113552,142,99.53125
1615638739.2524152,143,99.46875
1615638765.4377778,144,99.5625
1615638791.6885726,145,99.59375
1615638817.8967245,146,99.6875
1615638844.0670578,147,99.45999908447266
1615638870.3459747,148,99.40625
1615638896.4704812,149,99.53125
1615638922.6432962,150,99.4375
1615638948.8809416,151,99.58499908447266
1615638975.0472376,152,99.65625
1615639001.1094096,153,99.53125
1615639027.1905375,154,99.46875
1615639053.5276794,155,99.625
1615639079.898013,156,99.65625
1615639106.2433155,157,99.59375
1615639132.6637745,158,99.5625
1615639159.064124,159,99.53125
1615639185.477606,160,99.39749908447266
1615639211.8237305,161,99.53125
1615639238.2735872,162,99.59375
1615639264.5872402,163,99.55374908447266
1615639290.9052138,164,99.46875
1615639317.2273602,165,99.49124908447266
1615639343.682219,166,99.53125
1615639369.967957,167,99.625
1615639396.4223819,168,99.46875
1615639422.7138412,169,99.5625
1615639449.1406631,170,99.59375
1615639475.5859628,171,99.5625
1615639501.8637724,172,99.53125
1615639528.434279,173,99.53125
1615639554.974717,174,99.6875
1615639581.2681031,175,99.64749908447266
1615639607.5854938,176,99.59375
1615639633.8357694,177,99.46875
1615639660.2615955,178,99.59375
1615639686.6126263,179,99.59375
1615639712.997913,180,99.59375
1615639739.2856433,181,99.5625
1615639765.6607428,182,99.40625
1615639792.1175127,183,99.4375
1615639818.523557,184,99.5
1615639844.9765112,185,99.625
1615639871.5344815,186,99.34375
1615639897.9333446,187,99.59375
1615639924.3547735,188,99.625
1615639950.939008,189,99.5625
1615639977.287938,190,99.52249908447266
1615640003.6577463,191,99.53125
1615640029.990952,192,99.59375
1615640056.2921364,193,99.65625
1615640082.6735628,194,99.71875
1615640109.215242,195,99.71875
1615640135.6198006,196,99.53125
1615640161.8952525,197,99.59375
1615640188.7168171,198,99.5
1615640215.6298022,199,99.625
1615640242.183956,200,99.625
