Wall time,Step,Value
1615625755.5780973,1,1.0519230365753174
1615625781.0711212,2,0.583766520023346
1615625806.6930783,3,0.5446166396141052
1615625832.2447898,4,0.456169068813324
1615625857.596601,5,0.4034681022167206
1615625882.998904,6,0.3997536599636078
1615625908.557763,7,0.35861608386039734
1615625933.9290555,8,0.38311246037483215
1615625959.374286,9,0.3454385995864868
1615625984.852442,10,0.32402947545051575
1615626010.3581004,11,0.34753111004829407
1615626035.784098,12,0.31917834281921387
1615626061.2383685,13,0.31538161635398865
1615626086.6313674,14,0.3166722059249878
1615626111.796836,15,0.29140791296958923
1615626137.1219122,16,0.31637653708457947
1615626162.4172778,17,0.29085999727249146
1615626187.7204792,18,0.2745095491409302
1615626213.1052384,19,0.3033503293991089
1615626238.449743,20,0.26571494340896606
1615626263.7826452,21,0.24381640553474426
1615626289.2236314,22,0.22404496371746063
1615626314.9018576,23,0.22895707190036774
1615626340.3895588,24,0.2225896269083023
1615626365.7979183,25,0.2411929816007614
1615626391.1510544,26,0.2165650725364685
1615626416.3576715,27,0.2206140160560608
1615626441.554035,28,0.23393908143043518
1615626467.0256917,29,0.2278822660446167
1615626492.254492,30,0.22244465351104736
1615626517.5413141,31,0.20548011362552643
1615626542.9294677,32,0.207391619682312
1615626568.2471619,33,0.20017845928668976
1615626593.5868797,34,0.20447172224521637
1615626618.9128308,35,0.2131909877061844
1615626644.3774981,36,0.2089962661266327
1615626669.8010757,37,0.24011197686195374
1615626695.0852897,38,0.19948677718639374
1615626720.541117,39,0.21483176946640015
1615626745.757014,40,0.1963082253932953
1615626771.037043,41,0.18253719806671143
1615626796.3181844,42,0.1749183088541031
1615626821.7648392,43,0.1712164431810379
1615626847.082447,44,0.1747715175151825
1615626872.3745272,45,0.17661496996879578
1615626897.7599971,46,0.171347975730896
1615626923.003725,47,0.1699042022228241
1615626948.4079547,48,0.16141387820243835
1615626973.7172856,49,0.16032591462135315
1615626999.0147367,50,0.155513197183609
1615627024.5186453,51,0.16159391403198242
1615627049.8053927,52,0.16156494617462158
1615627075.1935158,53,0.15336763858795166
1615627100.5598361,54,0.16501083970069885
1615627125.9594343,55,0.16279444098472595
1615627151.3814256,56,0.15482699871063232
1615627176.6217632,57,0.15227723121643066
1615627202.0694046,58,0.16382598876953125
1615627227.4013956,59,0.16023819148540497
1615627252.6920474,60,0.15551860630512238
1615627278.0271857,61,0.14556647837162018
1615627303.2267556,62,0.14879277348518372
1615627328.5297716,63,0.13493120670318604
1615627353.8636441,64,0.1405833661556244
1615627379.050465,65,0.13611698150634766
1615627404.2980387,66,0.15064094960689545
1615627429.551361,67,0.1429237574338913
1615627454.9344473,68,0.14427319169044495
1615627480.0607343,69,0.12935730814933777
1615627505.347608,70,0.14257362484931946
1615627530.7253733,71,0.12919263541698456
1615627555.9957194,72,0.13863319158554077
1615627581.2649837,73,0.13682587444782257
1615627606.6468306,74,0.13424400985240936
1615627632.1927285,75,0.1299249678850174
1615627657.6823416,76,0.1341351568698883
1615627683.1641061,77,0.13568736612796783
1615627708.5388122,78,0.13351477682590485
1615627733.8563907,79,0.1334833800792694
1615627759.3893545,80,0.14596812427043915
1615627784.7776394,81,0.12396350502967834
1615627809.9105833,82,0.12268755584955215
1615627835.2329047,83,0.1293858289718628
1615627860.4900556,84,0.11417029052972794
1615627885.7152984,85,0.11123669147491455
1615627911.2455122,86,0.12293730676174164
1615627936.7080102,87,0.11038175225257874
1615627962.190408,88,0.11784317344427109
1615627987.610917,89,0.12237676978111267
1615628013.0971568,90,0.12787899374961853
1615628038.4872754,91,0.12267187982797623
1615628063.960719,92,0.12098491191864014
1615628089.4433024,93,0.1212410107254982
1615628114.8476617,94,0.11961348354816437
1615628140.3541524,95,0.12427963316440582
1615628165.82272,96,0.11391463875770569
1615628191.2293472,97,0.13279294967651367
1615628216.6327074,98,0.11821997165679932
1615628242.0506692,99,0.11790114641189575
1615628267.513748,100,0.11391309648752213
1615628292.7470906,101,0.10773202031850815
1615628317.9462483,102,0.12776121497154236
1615628343.1892087,103,0.11885745823383331
1615628368.472258,104,0.11059710383415222
1615628393.7272966,105,0.11208377033472061
1615628419.0192957,106,0.11368101090192795
1615628444.2455199,107,0.12098261713981628
1615628469.5015502,108,0.1156393364071846
1615628494.7952297,109,0.11291605979204178
1615628520.022875,110,0.12141666561365128
1615628545.182729,111,0.1142205148935318
1615628570.4659579,112,0.11865417659282684
1615628595.6275964,113,0.1105920821428299
1615628620.6885905,114,0.12806446850299835
1615628645.807816,115,0.12185542285442352
1615628670.8664124,116,0.11671794205904007
1615628695.8086169,117,0.11150772869586945
1615628720.7780552,118,0.10833770781755447
1615628746.0235195,119,0.11941572278738022
1615628771.0854063,120,0.11078386008739471
1615628796.0749788,121,0.12118369340896606
1615628821.1819084,122,0.10935132950544357
1615628846.3151243,123,0.11350879073143005
1615628871.3668437,124,0.1116446703672409
1615628896.4261472,125,0.11379312723875046
1615628921.6650388,126,0.11564785242080688
1615628947.002704,127,0.10520536452531815
1615628972.3700542,128,0.11078494787216187
1615628997.6859767,129,0.11322588473558426
1615629023.0449438,130,0.10811354219913483
1615629048.4298315,131,0.11156237870454788
1615629073.7518306,132,0.10445329546928406
1615629098.9255695,133,0.11343400180339813
1615629124.2427373,134,0.11538507044315338
1615629149.5892897,135,0.12095708400011063
1615629174.9445555,136,0.11312969028949738
1615629200.382854,137,0.11620182543992996
1615629225.6627777,138,0.1082269474864006
1615629250.9225626,139,0.1080559566617012
1615629276.1641657,140,0.10956846922636032
1615629301.634906,141,0.11869629472494125
1615629326.9669745,142,0.10696715116500854
1615629352.148039,143,0.11247526854276657
1615629377.4220018,144,0.10254429280757904
1615629402.6221228,145,0.1056118905544281
1615629427.8549824,146,0.12174901366233826
1615629453.08542,147,0.11896011233329773
1615629478.4311993,148,0.11343918740749359
1615629503.7043405,149,0.11263445764780045
1615629528.889042,150,0.1147850900888443
1615629554.0873454,151,0.1100938692688942
1615629579.3725345,152,0.10694650560617447
1615629604.6648655,153,0.11711150407791138
1615629629.9794934,154,0.10235688835382462
1615629655.18662,155,0.11348415166139603
1615629680.3880355,156,0.11893593519926071
1615629705.7260647,157,0.11147327721118927
1615629730.9388707,158,0.12233436107635498
1615629756.167829,159,0.11290572583675385
1615629781.5032606,160,0.10430283844470978
1615629806.7348824,161,0.1085110530257225
1615629831.9758773,162,0.1054341197013855
1615629857.2460432,163,0.10649511963129044
1615629882.5188146,164,0.1172313541173935
1615629907.7657743,165,0.11033696681261063
1615629933.13293,166,0.11120244115591049
1615629958.495078,167,0.10332215577363968
1615629983.6097653,168,0.11357223987579346
1615630008.8723803,169,0.1058967188000679
1615630034.167801,170,0.11502212285995483
1615630059.4985,171,0.10963887721300125
1615630084.7950559,172,0.10764290392398834
1615630110.1960843,173,0.10906986147165298
1615630135.551838,174,0.1039133220911026
1615630160.853965,175,0.1050727516412735
1615630186.237495,176,0.10733377933502197
1615630211.6018631,177,0.10985665768384933
1615630236.8630166,178,0.10882168263196945
1615630262.1487677,179,0.1133156567811966
1615630287.463745,180,0.11242600530385971
1615630312.8016584,181,0.1065279096364975
1615630338.028094,182,0.0930171012878418
1615630363.4163885,183,0.11065081506967545
1615630388.7289221,184,0.11501340568065643
1615630414.0541518,185,0.110902339220047
1615630439.439104,186,0.10665713995695114
1615630464.636326,187,0.09952601045370102
1615630489.921876,188,0.1061762273311615
1615630515.1836176,189,0.10220523923635483
1615630540.4933631,190,0.11123614013195038
1615630565.635985,191,0.1032906249165535
1615630590.894331,192,0.10702557861804962
1615630616.3183239,193,0.10801421105861664
1615630641.7567225,194,0.11052387952804565
1615630667.1265595,195,0.10498397052288055
1615630692.6037319,196,0.11261523514986038
1615630717.8693724,197,0.10829708725214005
1615630743.1926134,198,0.10942139476537704
1615630768.466698,199,0.10853489488363266
1615630793.7196982,200,0.10395902395248413
